iter	Passed	Remaining
569	15274	11522
570	15298	11494
571	15323	11466
572	15350	11439
573	15376	11411
574	15398	11381
575	15423	11353
576	15449	11325
577	15476	11299
578	15500	11270
579	15526	11243
580	15551	11215
581	15577	11187
582	15601	11159
583	15629	11133
584	15656	11107
585	15681	11078
586	15706	11050
587	15731	11023
588	15759	10997
589	15785	10969
590	15817	10946
591	15844	10919
592	15870	10892
593	15895	10864
594	15921	10837
595	15949	10811
596	15975	10783
597	16001	10757
598	16031	10732
599	16057	10704
600	16085	10679
601	16112	10652
602	16139	10625
603	16165	10598
604	16192	10571
605	16219	10545
606	16245	10517
607	16270	10490
608	16295	10462
609	16320	10434
610	16350	10409
611	16375	10381
612	16400	10354
613	16426	10326
614	16452	10299
615	16479	10273
616	16504	10244
617	16531	10218
618	16556	10190
619	16582	10163
620	16610	10137
621	16637	10111
622	16664	10084
623	16689	10056
624	16715	10029
625	16741	10002
626	16767	9974
627	16794	9948
628	16821	9921
629	16846	9893
630	16875	9868
631	16905	9843
632	16932	9817
633	16959	9790
634	16985	9763
635	17010	9735
636	17033	9706
637	17060	9680
638	17087	9653
639	17113	9626
640	17141	9600
641	17169	9574
642	17193	9546
643	17220	9519
644	17246	9492
645	17270	9464
646	17298	9437
647	17319	9408
648	17348	9382
649	17375	9356
650	17400	9328
651	17427	9302
652	17456	9276
653	17483	9249
654	17507	9221
655	17531	9193
656	17555	9165
657	17580	9137
658	17607	9110
659	17631	9083
660	17656	9055
661	17681	9027
662	17709	9001
663	17739	8976
664	17766	8950
665	17791	8922
666	17816	8894
667	17842	8867
668	17870	8841
669	17896	8814
670	17920	8786
671	17945	8759
672	17971	8732
673	17999	8706
674	18026	8679
675	18052	8652
676	18077	8624
677	18102	8597
678	18128	8570
679	18152	8542
680	18180	8516
681	18207	8489
682	18232	8462
683	18257	8434
684	18287	8409
685	18314	8383
686	18340	8355
687	18366	8328
688	18392	8302
689	18419	8275
690	18445	8248
691	18470	8220
692	18496	8194
693	18523	8167
694	18552	8141
695	18579	8115
696	18605	8088
697	18631	8061
698	18658	8034
699	18682	8006
700	18707	7979
701	18734	7952
702	18760	7925
703	18787	7899
704	18811	7871
705	18839	7845
706	18865	7818
707	18890	7791
708	18919	7765
709	18944	7737
710	18969	7710
711	18996	7684
712	19021	7656
713	19049	7630
714	19074	7602
715	19100	7576
716	19128	7549
717	19152	7522
718	19176	7494
719	19203	7467
720	19229	7441
721	19259	7415
722	19284	7388
723	19310	7361
724	19335	7334
725	19361	7307
726	19393	7282
727	19418	7255
728	19443	7227
729	19467	7200
730	19493	7173
731	19521	7147
732	19547	7120
733	19573	7093
734	19598	7066
735	19623	7038
736	19648	7011
737	19677	6985
738	19703	6958
739	19730	6932
740	19755	6905
741	19781	6878
742	19810	6852
743	19836	6825
744	19862	6798
745	19887	6771
746	19913	6744
747	19940	6717
748	19966	6691
749	19993	6664
750	20020	6637
